date,n_points,wind_speed_MAE,wind_speed_RMSE,wind_speed_bias,power_MAE,power_RMSE,power_nRMSE,power_bias
2023-04-19,12,1.2362190706955538,1.3604966207524485,1.2175437114402812,2.8911322997984055,3.542309382157452,0.17716851628893346,-0.04415244080328481
2023-04-24,15,0.9520912322304809,1.278877111785094,-0.9210272449559086,4.742215453319107,5.184432784598957,0.259299277717994,-4.742215453319107
2023-04-25,1,0.16692998515867075,0.16692998515867075,0.16692998515867075,4.843883208469109,4.843883208469109,0.24226669907603376,-4.843883208469109
2023-04-27,13,0.6746882959158018,0.7389101710699489,-0.6688833113203663,4.274565778606351,5.129621937291397,0.25655791454318705,-4.274565778606351
2023-05-08,14,0.4349600452808588,0.5229905410630987,0.3727663271665681,2.9393437311097856,3.458000051945219,0.17295178721996723,2.6444826609745427
2023-05-11,4,0.7069181453474302,0.9609745480953366,0.7069181453474302,4.947164449881007,5.600678344790957,0.2801177891338878,4.947164449881007
2023-05-17,2,1.2784289882505409,1.3282026172532866,-1.2784289882505409,1.386347695744366,1.5233531410313623,0.0761904697370718,-1.386347695744366
2023-06-02,2,0.8131312965655635,0.813135103778097,0.8131312965655635,10.089701035323248,11.538916163906379,0.5771186070417652,10.089701035323248
2023-06-09,5,0.4959513076334369,0.5829144518637854,0.4959513076334369,7.5957668248402115,8.821810072170805,0.4412226129490005,5.287045180677669
2023-06-22,5,0.6725479499808159,0.7196703310344426,0.6725479499808159,2.903658386108062,3.142350794390903,0.157164597396773,2.903658386108062
2023-08-02,9,1.0886727491537234,1.1250161678386137,1.0886727491537234,5.136151341089808,5.249653693284651,0.26256129985560384,5.136151341089808
