timestamp,wind_speed_ws30_ms,wind_speed_wsn_ms,power_kw,power_w,n_samples,n_seconds,ws30_std,power_w_std
2022-08-11 08:15:00+00:00,4.096187928501469,3.1226676052889326,2.4152155534910746,2415.215553491075,16336,816.8000000000001,0.4058245774947255,1133.3337353988898
2022-08-11 08:30:00+00:00,4.236348807472064,3.464552065380553,2.685527245129449,2685.527245129449,17987,899.35,0.3875398993087127,898.4583435144143
2022-08-11 08:45:00+00:00,3.811940833008953,2.8878891174998613,1.7900012046376301,1790.00120463763,17983,899.1500000000001,0.35132644790535694,683.8428373881003
2022-08-11 09:00:00+00:00,4.094619079386257,3.0564109406270847,1.9990472582361463,1999.0472582361463,17988,899.4000000000001,0.34733565103514685,1024.9581049715807
2022-08-11 09:15:00+00:00,3.869085925068711,2.8084118327788223,1.8828280060161289,1882.828006016129,13826,691.3000000000001,0.30517807849919104,713.2065036848828
2022-08-11 09:30:00+00:00,4.120505391569546,3.078144646552663,2.46267505745116,2462.6750574511602,9181,459.05,0.4966175989034654,1522.8065652632586
2022-08-11 09:45:00+00:00,3.981906039372706,2.871542876209543,2.0137286398876943,2013.7286398876945,14985,749.25,0.40652812001970307,935.410024408067
2022-08-11 10:00:00+00:00,4.575637089618456,3.1196288819875777,3.8811680072336956,3881.168007233696,9016,450.8,0.37123107044030906,834.8531994853088
2022-08-11 10:15:00+00:00,4.38749174403736,3.011166509145494,3.4527781618759663,3452.7781618759664,17987,899.35,0.3780233576520095,992.085906818391
2022-08-11 10:30:00+00:00,4.083326327495135,2.9021158743397275,2.7803811593775367,2780.3811593775367,17985,899.25,0.33311821673102227,742.7343119752398
2022-08-11 10:45:00+00:00,3.9129979984432337,2.770253752918937,2.3183798803350384,2318.3798803350383,17986,899.3000000000001,0.3380398387038154,698.852342215048
2022-08-11 11:00:00+00:00,3.6229938827716603,2.6937683238794348,1.4923033178585474,1492.3033178585474,17982,899.1,0.32520102054119077,621.4434062656552
2022-08-11 11:15:00+00:00,3.9049675158527086,2.6763493158304597,2.057654593577384,2057.654593577384,17978,898.9000000000001,0.3209590830523164,652.8324973652489
2022-08-11 11:30:00+00:00,3.608636115900117,2.5650426561370336,1.510473916843852,1510.4739168438518,17981,899.0500000000001,0.23562396467924046,417.31852309135417
2022-08-11 11:45:00+00:00,3.304979144652689,2.4256130359824257,0.8174031815406374,817.4031815406374,17981,899.0500000000001,0.2768490114647544,548.520407452336
2022-08-11 12:00:00+00:00,3.0634295884315907,2.5203957730812014,0.544912337853921,544.912337853921,17980,899.0,0.34688664038733813,465.5792224727775
2022-08-11 12:15:00+00:00,3.0591210368227832,2.633063633329625,0.4674688778574257,467.4688778574257,17978,898.9000000000001,0.4686946649098314,467.4057403212146
2022-08-11 12:30:00+00:00,3.6525717304270464,2.7409106983985767,1.570282459009464,1570.282459009464,17984,899.2,0.7248275020421077,1397.5279921172912
2022-08-11 12:45:00+00:00,4.029122157588577,2.672950819672131,2.2147393696714435,2214.7393696714435,3782,189.10000000000002,0.44559026866982177,911.9861557505951
2022-08-25 08:15:00+00:00,3.4199391812865496,3.9510830409356723,0.05888149316149707,58.881493161497076,855,42.75,0.4528591718757851,22.362966052558473
2022-08-25 08:30:00+00:00,3.9301919332406117,2.6222368845618913,1.818766726466576,1818.7667264665758,17975,898.75,0.7364906059806902,1235.3482360479163
2022-08-25 08:45:00+00:00,4.00203760151296,2.7503110468350203,2.28497965446543,2284.97965446543,17978,898.9000000000001,0.7764005187468992,2054.4995040829212
