timestamp,obs_ws_ms,obs_power_kw,fcst_ws_ms,fcst_power_kw,date,fcst_ws_raw_ms,fold_a,fold_b,fcst_power_raw_kw
2022-08-11 08:30:00+00:00,4.236348807472064,2.685527245129449,4.753553338534132,6.38242082350057,2022-08-11,3.47,0.8851746832441849,1.68199718767681,2.598387015010564
2022-08-11 08:45:00+00:00,3.811940833008953,1.79000120463763,4.784534452447678,6.481170377255458,2022-08-11,3.505,0.8851746832441849,1.68199718767681,2.7528559530070917
2022-08-11 09:00:00+00:00,4.094619079386257,1.9990472582361465,4.815515566361224,6.579526010652958,2022-08-11,3.54,0.8851746832441849,1.68199718767681,2.9012301142717054
2022-08-11 09:15:00+00:00,3.869085925068711,1.8828280060161289,4.850922553690992,6.691600382288598,2022-08-11,3.58,0.8851746832441849,1.68199718767681,3.063166740802848
2022-08-11 09:30:00+00:00,4.120505391569546,2.46267505745116,4.88632954102076,6.8034881400843545,2022-08-11,3.62,0.8851746832441849,1.68199718767681,3.2167700755634376
2022-08-11 09:45:00+00:00,3.981906039372706,2.0137286398876943,4.921736528350527,6.915364161043973,2022-08-11,3.66,0.8851746832441849,1.68199718767681,3.3618413094550865
2022-08-11 10:00:00+00:00,4.575637089618456,3.881168007233696,4.957143515680294,7.0274033221711925,2022-08-11,3.7,0.8851746832441849,1.68199718767681,3.4981816333794047
2022-08-11 10:15:00+00:00,4.38749174403736,3.4527781618759663,4.923949465058637,6.922360014597634,2022-08-11,3.6625,0.8851746832441849,1.68199718767681,3.37062043091685
2022-08-11 10:30:00+00:00,4.083326327495135,2.7803811593775367,4.89075541443698,6.817469698217729,2022-08-11,3.625,0.8851746832441849,1.68199718767681,3.235374656205877
2022-08-11 10:45:00+00:00,3.9129979984432337,2.3183798803350384,4.857561363815323,6.712588278820633,2022-08-11,3.5875,0.8851746832441849,1.68199718767681,3.092608122895669
2022-08-11 11:00:00+00:00,3.62299388277166,1.4923033178585474,4.824367313193666,6.607571662195499,2022-08-11,3.55,0.8851746832441849,1.68199718767681,2.942484644635411
2022-08-11 11:15:00+00:00,3.9049675158527086,2.057654593577384,4.844283743566661,6.670605925113752,2022-08-11,3.5725,0.8851746832441849,1.68199718767681,3.0334323914212167
2022-08-11 11:30:00+00:00,3.608636115900117,1.510473916843852,4.864200173939655,6.73357076746355,2022-08-11,3.595,0.8851746832441849,1.68199718767681,3.1217552271904876
2022-08-11 11:45:00+00:00,3.304979144652689,0.8174031815406374,4.8841166043126485,6.796497313594432,2022-08-11,3.6175,0.8851746832441849,1.68199718767681,3.207417768195
2022-08-11 12:00:00+00:00,3.0634295884315907,0.544912337853921,4.904033034685643,6.859416687855947,2022-08-11,3.64,0.8851746832441849,1.68199718767681,3.2903846306865288
2022-08-11 12:15:00+00:00,3.0591210368227832,0.4674688778574257,4.89075541443698,6.817469698217729,2022-08-11,3.625,0.8851746832441849,1.68199718767681,3.235374656205877
2022-08-11 12:30:00+00:00,3.6525717304270464,1.570282459009464,4.877477794188318,6.775524132096762,2022-08-11,3.61,0.8851746832441849,1.68199718767681,3.1791613603493465
